,Unnamed: 0,Marca,Modelo,Capacidade da bateria,Tamanho da tela,Touchscreen,Resolução X,Resolução Y,Processador,Armazenamento (GB),Camera traseira,Camera Frontal,Sistema,Preço,Valor em real,Valor em Dolar
0,0,OnePlus,7T Pro McLaren Edition,4085,6.67,sim,1440,3120,8,256.0,48.0,16.0,Android,58998,1946.9340000000002,401.1864
1,1,Realme,X2 Pro,4000,6.5,sim,1080,2400,8,64.0,64.0,16.0,Android,27999,923.9670000000001,190.39319999999998
2,2,Apple,iPhone 11 Pro Max,3969,6.5,sim,1242,2688,6,64.0,12.0,12.0,iOS,106900,3527.7000000000003,726.92
3,3,Apple,iPhone 11,3110,6.1,sim,828,1792,6,64.0,12.0,12.0,iOS,62900,2075.7000000000003,427.71999999999997
4,4,LG,G8X ThinQ,4000,6.4,sim,1080,2340,8,128.0,12.0,32.0,Android,49990,1649.67,339.93199999999996
5,5,OnePlus,7T,3800,6.55,sim,1080,2400,8,128.0,48.0,16.0,Android,34930,1152.69,237.524
6,6,OnePlus,7T Pro,4085,6.67,sim,1440,3120,8,256.0,48.0,16.0,Android,52990,1748.67,360.332
7,7,Samsung,Galaxy Note 10+,4300,6.8,sim,1440,3040,8,256.0,12.0,10.0,Android,79699,2630.067,541.9531999999999
8,8,Asus,ROG Phone 2,6000,6.59,sim,1080,2340,8,128.0,48.0,24.0,Android,37999,1253.967,258.3932
9,9,Xiaomi,Redmi K20 Pro,4000,6.39,sim,1080,2340,8,128.0,48.0,20.0,Android,23190,765.27,157.69199999999998
10,10,Oppo,K3,3765,6.5,sim,1080,2340,8,64.0,16.0,16.0,Android,23990,791.6700000000001,163.132
11,11,Realme,X,3765,6.53,sim,1080,2340,8,128.0,48.0,16.0,Android,14999,494.96700000000004,101.99319999999999
12,12,Xiaomi,Redmi K20,4000,6.39,sim,1080,2340,8,64.0,48.0,20.0,Android,19282,636.306,131.11759999999998
13,13,OnePlus,7 Pro,4000,6.67,sim,1440,3120,8,128.0,48.0,16.0,Android,39995,1319.835,271.966
14,14,Oppo,Reno 10x Zoom,4065,6.6,sim,1080,2340,8,128.0,48.0,16.0,Android,36990,1220.67,251.53199999999998
15,15,Realme,3 Pro,4045,6.3,sim,1080,2340,8,64.0,16.0,25.0,Android,13999,461.96700000000004,95.19319999999999
16,16,Huawei,P30 Pro,4200,6.47,sim,1080,2340,8,256.0,40.0,32.0,Android,54280,1791.24,369.104
17,17,Xiaomi,Redmi Note 7 Pro,4000,6.3,sim,1080,2340,8,64.0,48.0,13.0,Android,9799,323.367,66.6332
18,18,Huawei,Mate 20 Pro,4200,6.39,sim,1440,3120,8,128.0,40.0,24.0,Android,63990,2111.67,435.13199999999995
19,19,LG,V40 ThinQ,3300,6.4,sim,1440,3120,8,128.0,12.0,8.0,Android,29999,989.9670000000001,203.9932
20,20,OnePlus,6T,3700,6.41,sim,1080,2340,8,128.0,16.0,16.0,Android,31999,1055.967,217.5932
21,21,Apple,iPhone XR,2942,6.1,sim,828,1792,6,64.0,12.0,7.0,iOS,45499,1501.467,309.3932
22,22,Apple,iPhone XS Max,2658,6.5,sim,1242,2688,6,64.0,12.0,7.0,iOS,69999,2309.967,475.9932
23,23,Apple,iPhone XS,2658,5.8,sim,1125,2436,6,64.0,12.0,7.0,iOS,59999,1979.967,407.9932
24,24,Google,Pixel 3 XL,3430,6.3,sim,1440,2960,8,64.0,12.2,8.0,Android,47990,1583.67,326.332
25,25,Google,Pixel 3,2915,5.5,sim,1080,2160,8,64.0,12.2,8.0,Android,37999,1253.967,258.3932
26,26,Asus,ROG Phone,4000,6.0,sim,1080,2160,8,128.0,12.0,8.0,Android,69999,2309.967,475.9932
